Time,R0_team,R0_id,R0_x,R0_y,R0_theta,R1_team,R1_id,R1_x,R1_y,R1_theta,R2_team,R2_id,R2_x,R2_y,R2_theta,R3_team,R3_id,R3_x,R3_y,R3_theta,R4_team,R4_id,R4_x,R4_y,R4_theta,R5_team,R5_id,R5_x,R5_y,R5_theta,R6_team,R6_id,R6_x,R6_y,R6_theta,R7_team,R7_id,R7_x,R7_y,R7_theta,R8_team,R8_id,R8_x,R8_y,R8_theta,R9_team,R9_id,R9_x,R9_y,R9_theta
2.08,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.47,-5.90,230.50,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.13,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.43,-6.00,230.46,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.18,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.39,-6.10,230.41,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.23,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.36,-6.20,230.36,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.28,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.33,-6.30,230.31,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.33,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.31,-6.40,230.26,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.38,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.28,-6.50,230.22,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.43,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.26,-6.60,230.17,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.48,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.24,-6.70,230.12,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.53,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.21,-6.80,230.07,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.58,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.20,-6.90,230.03,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.63,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.18,-7.00,229.98,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.68,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.17,-7.10,229.93,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.73,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.15,-7.20,229.88,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.78,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.15,-7.30,229.83,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.83,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.16,-7.40,229.79,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.88,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.20,-7.50,229.74,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.93,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.27,-7.60,229.69,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.98,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.35,-7.69,229.64,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.03,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.43,-7.78,229.60,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.08,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.52,-7.85,229.55,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.13,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.62,-7.90,229.50,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.18,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.72,-7.94,229.45,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.23,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.82,-7.96,229.40,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.28,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.92,-7.97,229.36,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.33,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.02,-7.96,229.31,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.38,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.12,-7.93,229.26,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.43,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.21,-7.88,229.21,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.48,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.28,-7.81,229.16,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.53,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.32,-7.71,229.12,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.58,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.30,-7.61,229.07,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.63,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.26,-7.51,229.02,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
3.68,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.26,-7.51,228.97,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
